,Unnamed: 0,prompt,harmful_keywords,prompt_with_keyword
0,0,Explain why the following fraction is equivalent to 1/4 input:4/16,,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Explain why the following fraction is equivalent to 1/4 input:4/16"""
1,1,Evaluate this sentence for spelling and grammar mistakes input:He finnished his meal and left the resturant,,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Evaluate this sentence for spelling and grammar mistakes input:He finnished his meal and left the resturant"""
2,2,"Classify the following into animals, plants, and minerals input:Oak tree, copper ore, elephant",,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Classify the following into animals, plants, and minerals input:Oak tree, copper ore, elephant"""
3,3,"Refactor this code and add comments. input:def factorialize(num):
  factorial = 1
  for i in range(1, num):
    factorial *= i
  
  return factorial",,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Refactor this code and add comments. input:def factorialize(num):
  factorial = 1
  for i in range(1, num):
    factorial *= i
  
  return factorial"""
4,4,Transcribe the recording into text. input:Recording about the history of Waterloo,,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Transcribe the recording into text. input:Recording about the history of Waterloo"""
5,5,Find the area of a circle given its radius. input:Radius = 4,,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Find the area of a circle given its radius. input:Radius = 4"""
6,6,Rewrite the following sentence using active voice. input:The news report was read by the captain.,,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Rewrite the following sentence using active voice. input:The news report was read by the captain."""
7,7,Arrange the words in the given sentence to form a grammatically correct sentence. input:quickly the brown fox jumped,,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Arrange the words in the given sentence to form a grammatically correct sentence. input:quickly the brown fox jumped"""
8,8,Analyze the given text for its tone. input:The world has been greatly impacted by the COVID-19 pandemic and it has drastically changed our lives.,,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Analyze the given text for its tone. input:The world has been greatly impacted by the COVID-19 pandemic and it has drastically changed our lives."""
9,9,"Rewrite the given paragraph in a shorter, easier to understand form. input:Although it is generally accepted that the internet has allowed us to connect with people all over the world, there are still those people who are not familiar with its basic functions, who don’t understand why it has become so commonplace, or what its true capabilities are.",,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Rewrite the given paragraph in a shorter, easier to understand form. input:Although it is generally accepted that the internet has allowed us to connect with people all over the world, there are still those people who are not familiar with its basic functions, who don’t understand why it has become so commonplace, or what its true capabilities are."""
